Family,Non-native Species,Establishment uncertain,oligolectic,General impacts (row color),Nesting Sites,Floral Resources,Pathogens/Parasites,Invasive Weeds,Alteration of Pollination Networks,Damage to Buildings,Change Pollination,EmpiricalRefs
Colletidae,Chilicola rostrata,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,NA,NA,
Colletidae,Hylaeus albonitens,FALSE,FALSE,see columns,NA,[76],NA,NA,NA,NA,NA,
Colletidae,Hylaeus hyalinatus,FALSE,FALSE,see columns,NA,NA,NA,[77],NA,NA,NA,
Colletidae,Hylaeus leptocephalus,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Colletidae,Hylaeus punctatus,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Colletidae,Hylaeus strenuus,FALSE,FALSE,see columns,NA,[14],NA,NA,NA,NA,NA,
Colletidae,Hylaeus Prosopis variegates,TRUE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Colletidae,Hyleoides concinna,FALSE,FALSE,see columns,[15],NA,NA,NA,NA,NA,NA,
Andrenidae,Andrena wilkella,FALSE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Halictus tectus,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum eleutherense,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum imbrex,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum impavidum,FALSE,FALSE,see columns,NA,[76],NA,NA,NA,NA,NA,
Halictidae,Lasioglossum leucozonium,FALSE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum microlepoides,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Nomia melanderi,FALSE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Afranthidium repetitum,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Anthidium manicatum,FALSE,FALSE,see columns,NA,[73] but see [78],[73],"[73,78]",NA,NA,NA,
Megachilidae,Anthidium oblongatum,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Anthidium vigintiduopunctatum,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Chelostoma campanularum,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Chelostoma rapunculi,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Coelioxys coturnix,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Heriades truncorum,FALSE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Hoplitis adunca,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Hoplitis anthocopoides,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Lithurgus bractipes,FALSE,FALSE,see columns,NA,NA,NA,NA,[26],NA,NA,
Megachilidae,Lithurgus chrysurus,FALSE,TRUE,see columns,NA,NA,NA,NA,NA,"[71,72]",NA,
Megachilidae,Lithurgus huberi,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Lithurgus scabrosus,FALSE,FALSE,see columns,NA,NA,NA,NA,[26],NA,NA,
Megachilidae,Megachile apicalis,FALSE,TRUE,see columns,"[19,79],[80]",NA,NA,[81],NA,NA,NA,"80, 81"
Megachilidae,Megachile australis,FALSE,FALSE,see columns,NA,NA,NA,NA,[26],NA,NA,
Megachilidae,Megachile concinna,FALSE,TRUE,see columns,NA,NA,[82],NA,NA,NA,NA,82
Megachilidae,Megachile ericetorum,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Megachile fullawayi,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Megachile gentilis,FALSE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Megachile lanata,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Megachile rotundata,FALSE,TRUE,see columns,"[79] but see [83],[84],[85]",But see [84],"[19],[86]",[19] but see [84],NA,NA,NA,"84, 86"
Megachilidae,Megachile rufipennis,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Megachile sculpturalis,FALSE,FALSE,see columns,"[87,88]",NA,NA,"[89,90]",[90],NA,NA,
Megachilidae,Megachile timberlakei,FALSE,FALSE,see columns,[22],[22],NA,NA,[22],NA,[22],
Megachilidae,Megachile umbripenne,FALSE,FALSE,see columns,NA,NA,NA,NA,[26],NA,NA,
Megachilidae,Osmia caerulescens,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Osmia cornifrons,FALSE,FALSE,see columns,NA,NA,[86],NA,NA,NA,NA,86
Megachilidae,Osmia cornuta,TRUE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Osmia ribifloris,FALSE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Osmia taurus,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Pseudoanthidium nana,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Apidae,Amegilla pulchra,FALSE,FALSE,see columns,NA,NA,NA,[39],NA,NA,NA,
Apidae,Anthophora plumipes,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,NA,NA,
Apidae,Braunsapis puangensis,FALSE,FALSE,see columns,NA,[52],NA,"[28,52],[91]",NA,NA,NA,91
Apidae,Centris nitida,FALSE,FALSE,see columns,NA,But see [56],NA,[92],NA,NA,NA,"56, 92"
Apidae,Ceratina arizonensis,FALSE,FALSE,see columns,NA,[76],NA,NA,NA,NA,NA,
Apidae,Ceratina cobaltina,TRUE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Apidae,Ceratina dallatorreana,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Apidae,Ceratina dentipes,FALSE,FALSE,see columns,NA,[76],NA,NA,NA,NA,NA,
Apidae,Ceratina smaragdula,FALSE,FALSE,see columns,NA,[76],NA,NA,NA,NA,NA,
Apidae,Euglossa dilemma,FALSE,FALSE,see columns,NA,NA,NA,"[93,94]",NA,NA,NA,"93, 94"
Apidae,Peponapis pruinosa,FALSE,TRUE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Apidae,Plebia frontalis,TRUE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Apidae,Triepeolus remigatus,FALSE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Apidae,Xenoglossa strenua,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Apidae,Xylocopa appendiculata,FALSE,FALSE,see columns,NA,NA,[60],NA,NA,NA,NA,
Apidae,Xylocopa augusti,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Apidae,Xylocopa sonorina,FALSE,FALSE,see columns,NA,NA,NA,[39],NA,NA,"[62,95]",
Apidae,Xylocopa tabaniformis parkinsoniae,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Apidae,Xylocopa tranquebarorum,FALSE,FALSE,see columns,NA,NA,"[63,96,97]",NA,NA,NA,NA,"63, 96"
